Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
01.01.2019;00:00;01:00;28.32;-;69.49;28.32;28.32;51;68.92;48.77;33.48;-;28.32;50.26;8.5;-;51;51;59.9
01.01.2019;01:00;02:00;10.07;-;66.58;10.07;10.07;46.27;64.98;49.25;39.76;-;10.07;48.74;3.97;-;46.27;46.27;52.71
01.01.2019;02:00;03:00;-4.08;-;65.07;-4.08;-4.08;39.78;60.27;49.17;39.78;-;10.03;47.24;4.7;-;39.78;39.78;36.49
01.01.2019;03:00;04:00;-9.91;-;52.17;-9.91;-9.91;27.87;49.97;48.37;27.87;-;4.56;36.29;0.93;-;27.87;27.87;31.24
01.01.2019;04:00;05:00;-7.41;-;47.66;-7.41;-7.41;23.21;47.66;47.19;-0.36;-;4.83;30.09;3.9;-;22;-0.36;25.98
01.01.2019;05:00;06:00;-12.55;-;50.87;-12.55;-12.55;22.64;48;47.37;-4.45;-;8.09;27.31;7.95;-;20;-4.45;26.69
01.01.2019;06:00;07:00;-17.25;-;52.88;-17.25;-17.25;20.9;49.75;48.16;-8.99;-;25.54;28.53;11.7;-;20.9;-8.99;27.99
01.01.2019;07:00;08:00;-15.07;-;61.78;-15.07;-15.07;26.54;55.12;49.09;-6.05;-;39.16;26.84;5.01;-;26.54;-6.05;28.49
01.01.2019;08:00;09:00;-4.93;-;50.08;-4.93;-4.93;25;44.8;47.63;1.53;-;37.66;28.7;1.01;-;25;1.53;33.98
01.01.2019;09:00;10:00;-6.33;-;50.27;-6.33;-6.33;25;49.58;47.99;0.41;-;21.52;35.7;0.11;-;25;0.41;41.24
